Polo_nombre,Lat_polo,Lon_polo,cve_ent_polo,cve_mun_polo,ent_polo,mun_polo,loc_polo,Vocacion_Estrategica,Plan_Estrategico,FAC_SOCECO,VAL_FRIC
Aguascalientes Sur (Nissan Site),21.785,-102.285,1,1,Aguascalientes,Aguascalientes,,Hub de Manufactura Global,Cluster Japon-Mexico,1.1,1.3
Polo Aguascalientes (Tech),21.882,-102.296,1,1,Aguascalientes,Aguascalientes,,Hub de Manufactura Global,Plan Manufactura Avanzada,1.15,1.5
Polo Baja California Sur,24.142,-110.312,3,3,B.C.S.,La Paz,,Nodo Logistico e Industrial,Plan Pacifico Sur,1.15,1.4
Parque Industrial Aeropuerto Tijuana,32.545,-116.975,2,4,Baja California,Tijuana,,Hub de Manufactura Global,Maquiladora Medica y Tech,1.25,1.5
Parque Industrial Pacífico / El Florido,32.4633,-116.969,2,4,Baja California,Tijuana,,Hub de Manufactura Global,Nearshoring Frontera Norte,1.25,1.4
Polo Mexicali (Silicon Border),32.627,-115.454,2,2,Baja California,Mexicali,,Ecosistema de Innovacion Tech,Plan Nearshoring Frontera,1.2,1.4
Valle de Guadalupe,32.095,-116.665,2,1,Baja California,Ensenada,,Agroindustria de Exportacion,Corredor del Vino,1.25,1.7
Parque Industrial Pacífico / El Florido,32.4697,-116.8202,2,4,Baja California,Tijuana,,Hub de Manufactura Global,Nearshoring Frontera Norte,1.25,1.4
Polo Seybaplaya,19.642,-90.645,4,13,Campeche,Seybaplaya,,Infraestructura Energetica y Portuaria,PODEBI (Campeche),1,1.1
Corredor Financiero Reforma-Polanco,19.4273,-99.1676,9,15,CDMX,Cuauhtémoc,,Centro de Negocios y Plusvalia,Plan Maestro CDMX,1.45,2.2
Corredor Financiero Reforma-Polanco,19.4335,-99.1855,9,16,CDMX,Miguel Hidalgo,,Centro de Negocios y Plusvalia,Plan Maestro CDMX,1.45,2.2
Zona Industrial Vallejo-i,19.493,-99.163,9,2,CDMX,Azcapotzalco,,Ecosistema de Innovacion Tech,Vallejo-i (CDMX),1.2,1.8
Polo Tapachula,14.901,-92.261,7,89,Chiapas,Tapachula,,Nodo Logistico e Industrial,PODEBI (Frontera Sur),0.8,1.1
Polo Chihuahua (Exportación),28.635,-106.085,8,19,Chihuahua,Chihuahua,,Hub de Manufactura Global,PODECOBIS (Norte),1.1,1.3
Zona Industrial Bermúdez,31.685,-106.405,8,37,Chihuahua,Juárez,,Hub de Manufactura Global,Eje Fronterizo Juarez,1.2,1.4
Parque Industrial Derramadero,25.265,-101.125,5,30,Coahuila,Saltillo,,Hub de Manufactura Global,Cluster Coahuila,1.1,1.2
Polo Laguna Innovation Park,25.543,-103.407,5,35,Coahuila,Torreón,,Ecosistema de Innovacion Tech,Plan Desarrollo La Laguna,1.1,1.3
Polo Piedras Negras,28.703,-100.523,5,25,Coahuila,Piedras Negras,,Nodo Logistico e Industrial,Eje de Exportacion Norte,1.1,1.3
Polo Ramos Arizpe (EV Hub),25.541,-100.947,5,27,Coahuila,Ramos Arizpe,,Hub de Manufactura Global,Cluster Automotriz Coahuila,1.15,1.3
Puerto de Manzanillo,19.0522,-104.3158,6,7,Colima,Manzanillo,,Infraestructura Energetica y Portuaria,Plan Maestro Portuario,1.15,1.4
Polo Durango (Logística),24.027,-104.653,10,5,Durango,Durango,,Nodo Logistico e Industrial,PODECOBIS (Durango),0.9,1.2
Corredor CTT (Nearshoring),19.645,-99.215,15,121,Estado de México,Cuautitlán Izcalli,,Nodo Logistico e Industrial,Cinturon Logistico Centro,1.1,1.5
Zona Esmeralda,19.535,-99.285,15,13,Estado de México,Atizapán de Zaragoza,,Centro de Negocios y Plusvalia,Desarrollo de Lujo Edomex,1.3,2.1
